jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus
Manager,Male,42,3,College,Sales,4,125339,6019
IT,Female,62,4,College,Management,3,111120,6536
Data Scientist,Female,36,3,High School,Operations,3,76523,7122
Driver,Female,50,3,College,Operations,2,91160,5863
Manager,Male,28,3,College,Sales,2,105795,6179
Financial Analyst,Female,18,2,High School,Operations,2,66935,6508
Sales Associate,Male,19,1,PhD,Management,3,75238,5308
Data Scientist,Female,55,2,Masters,Sales,5,138365,5359
Software Engineer,Male,42,2,College,Management,1,103978,5146
IT,Male,65,4,Masters,Sales,5,165229,6506
Warehouse Associate,Male,54,2,Masters,Engineering,4,118322,5224
Graphic Designer,Male,39,2,Masters,Operations,5,106883,5831
Marketing Associate,Female,45,2,High School,Management,2,59006,5876
Manager,Male,30,1,PhD,Engineering,4,125164,5888
Software Engineer,Male,53,4,High School,Operations,1,89225,5751
Driver,Male,63,4,High School,Sales,2,101716,5881
Marketing Associate,Female,45,3,Masters,Sales,3,74305,7126
Marketing Associate,Female,30,3,Masters,Administration,1,38451,5562
Graphic Designer,Female,48,1,High School,Operations,5,113465,3846
Sales Associate,Female,27,2,College,Operations,2,66377,5803
Financial Analyst,Male,31,3,PhD,Engineering,1,79142,5445
Graphic Designer,Female,20,1,Masters,Operations,4,55569,5236
Graphic Designer,Male,60,4,Masters,Engineering,1,97240,5412
Manager,Female,25,1,Masters,Management,5,119033,6381
Marketing Associate,Female,65,3,Masters,Administration,5,106315,5618
Driver,Male,24,2,College,Engineering,3,81301,5713
Software Engineer,Male,23,1,PhD,Management,2,79462,4673
IT,Female,28,1,PhD,Sales,5,105598,5380
Data Scientist,Male,30,2,College,Operations,3,72497,6452
Financial Analyst,Female,23,1,High School,Management,4,78084,5598
Graphic Designer,Male,50,3,Masters,Management,1,84803,5406
Graphic Designer,Female,18,2,College,Administration,1,41603,6092
Driver,Female,47,2,Masters,Operations,2,78002,5175
Warehouse Associate,Male,56,3,Masters,Administration,2,79274,4618
IT,Male,20,2,PhD,Management,1,49622,5452
Sales Associate,Male,62,3,College,Management,3,129620,5608
Software Engineer,Male,36,2,High School,Administration,4,87848,5166
Driver,Male,24,2,College,Management,3,51906,6274
Sales Associate,Female,44,2,High School,Engineering,3,81866,5183
Financial Analyst,Male,24,2,PhD,Engineering,3,71590,5845
Warehouse Associate,Male,19,2,High School,Sales,2,63928,4998
Driver,Male,44,4,High School,Administration,4,83333,7113
Marketing Associate,Male,49,3,High School,Administration,4,92797,5405
Financial Analyst,Male,36,3,PhD,Operations,1,93067,5103
Graphic Designer,Male,22,2,High School,Sales,3,72422,5697
Driver,Male,59,3,College,Operations,3,120159,4265
Data Scientist,Female,39,3,Masters,Operations,3,91711,6775
Marketing Associate,Female,50,3,Masters,Sales,5,93805,6044
Marketing Associate,Female,58,3,Masters,Operations,5,109931,5878
Marketing Associate,Female,42,2,College,Administration,5,88365,4668
Financial Analyst,Male,58,4,Masters,Operations,3,104744,6425
Warehouse Associate,Female,44,3,High School,Administration,1,79334,6505
Driver,Male,41,2,Masters,Administration,4,95795,4898
Financial Analyst,Female,58,3,PhD,Engineering,1,98512,4548
Data Scientist,Female,33,2,High School,Operations,4,78910,5927
Manager,Male,22,1,College,Management,2,103156,6277
Driver,Male,35,2,High School,Administration,5,92760,4826
Warehouse Associate,Female,42,1,PhD,Operations,5,125574,5688
Data Scientist,Male,62,4,College,Operations,3,93742,6580
Sales Associate,Male,50,2,Masters,Engineering,5,124470,5454
Software Engineer,Male,51,2,Masters,Engineering,3,132323,4872
Sales Associate,Male,22,1,High School,Sales,4,70595,5234
Software Engineer,Male,32,2,College,Operations,1,71278,4701
Data Scientist,Male,33,2,High School,Engineering,2,53855,4980
IT,Male,35,1,College,Management,4,98423,3879
Software Engineer,Male,47,2,Masters,Operations,4,126239,5396
Sales Associate,Male,53,2,Masters,Management,5,101133,4700
Warehouse Associate,Male,23,1,High School,Administration,4,92516,5866
Data Scientist,Male,49,3,College,Administration,3,93320,7236
Warehouse Associate,Female,45,1,High School,Administration,5,106963,5084
IT,Female,26,1,PhD,Sales,5,111770,5345
IT,Male,33,2,Masters,Engineering,5,106584,5426
Marketing Associate,Female,26,2,High School,Operations,3,57672,6476
