jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus
Financial Analyst,Male,47,5,College,Administration,2,64852,8023
Graphic Designer,Male,49,5,College,Management,4,106887,8347
Software Engineer,Male,26,4,College,Administration,2,77309,7957
Graphic Designer,Female,44,4,High School,Administration,4,100416,7513
Software Engineer,Male,18,3,Masters,Engineering,2,88482,7385
Data Scientist,Female,32,4,College,Management,4,78623,9012
Sales Associate,Male,18,4,High School,Management,4,80135,9007
Warehouse Associate,Female,63,5,High School,Sales,2,106158,7654
Graphic Designer,Female,37,4,College,Engineering,4,89411,9522
Graphic Designer,Male,22,4,Masters,Sales,2,57398,7827
Marketing Associate,Female,64,5,PhD,Sales,2,95687,7279
Graphic Designer,Female,39,4,PhD,Operations,5,120294,8090
Manager,Male,20,4,College,Sales,2,107140,8199
Financial Analyst,Female,39,5,College,Operations,1,76773,7278
Data Scientist,Female,37,4,Masters,Engineering,2,98010,8210
Data Scientist,Female,39,4,PhD,Management,3,91099,8306
Financial Analyst,Male,29,4,High School,Management,4,89559,8338
Software Engineer,Male,58,5,High School,Management,3,120156,7200
Driver,Male,38,5,PhD,Engineering,4,102966,8978
Marketing Associate,Female,64,5,PhD,Sales,5,128970,7346
Warehouse Associate,Female,51,4,High School,Management,5,121376,7832
Financial Analyst,Male,53,5,Masters,Administration,3,112941,7404
Graphic Designer,Male,46,5,High School,Engineering,4,102736,9736
Driver,Female,28,4,High School,Management,1,64008,7185
IT,Male,52,5,Masters,Engineering,1,90024,7350
Financial Analyst,Female,48,4,Masters,Management,5,129406,7280
IT,Female,34,5,College,Operations,1,54245,8245
Marketing Associate,Female,27,4,High School,Administration,5,67530,9311
Graphic Designer,Male,18,4,High School,Sales,4,75506,9289
Graphic Designer,Female,31,4,College,Engineering,2,81826,8375
Software Engineer,Female,27,4,High School,Operations,1,65711,7789
Sales Associate,Male,29,3,Masters,Management,2,61164,6346
Driver,Female,41,5,Masters,Administration,1,73801,8317
Manager,Male,62,5,College,Administration,5,157410,7840
Graphic Designer,Male,23,4,High School,Operations,1,50601,7351
Data Scientist,Male,29,4,High School,Engineering,3,65907,7668
Data Scientist,Male,38,5,High School,Sales,2,80937,8335
Driver,Male,34,4,College,Administration,5,90330,7022
Sales Associate,Female,62,5,College,Operations,2,93268,7657
IT,Male,40,4,College,Administration,5,109345,7791
Software Engineer,Male,27,4,Masters,Engineering,1,66084,7769
Financial Analyst,Male,35,4,PhD,Operations,5,98900,7960
IT,Male,19,4,College,Engineering,3,78113,9335
Software Engineer,Male,36,4,Masters,Engineering,5,130826,9694
Sales Associate,Male,23,3,High School,Engineering,3,85928,7229
